0.325,-0.569,-0.755,0,0,0,0
0.325,-0.574,-0.754,0,0,0,0
0.324,-0.573,-0.754,0,0,0,0
0.332,-0.563,-0.759,0.002,0.001,0.001,0
0.525,-0.555,-0.942,0.028,0.004,0.019,1
0.799,0.19,-0.359,0.028,0.094,0.223,0
0.815,0.258,0.548,0.05,0.116,0.021,0
0.465,0.09,0.928,0.032,0.013,0.004,1
0.303,0.173,0.968,0.01,0.008,0.008,1
0.308,0.208,0.986,0.052,0.019,0.011,1
0.339,0.21,0.951,0.003,0.003,0.001,1
0.258,0.237,0.979,0.004,0.002,0,1
0.046,0.309,1.006,0.008,0.012,0.01,1
-0.032,0.263,0.995,0.011,0.007,0.033,1
-0.029,0.183,1.003,0.001,0.001,0,1
-0.031,0.185,1.011,0,0,0.001,1
-0.033,0.189,1.008,0.001,0.001,0,1
-0.024,0.19,1.008,0.003,0.001,0,1
-0.015,0.188,1.011,0.001,0,0,1
-0.019,0.184,1.011,0.001,0,0,1
0.052,0.259,0.964,0.033,0.008,0.004,1
0.392,-0.139,0.732,0.034,0.169,0.079,0
0.847,-0.682,0.341,0.032,0.143,0.004,0
0.693,-0.707,0.278,0.011,0.003,0,0
0.765,-0.703,0.108,0.017,0.018,0.014,0
0.848,-0.566,0.072,0.01,0.008,0.004,0
0.916,-0.58,-0.079,0.005,0.001,0.005,0
0.8,-0.585,-0.083,0.006,0.008,0.004,0
0.951,-0.503,-0.249,0.005,0.002,0.001,0
0.944,-0.369,-0.278,0.007,0.004,0.014,0
0.857,-0.633,-0.257,0.005,0.008,0.007,0
0.848,-0.455,0.112,0.03,0.022,0.042,0
0.957,-0.543,0.169,0.013,0.003,0.02,0
0.887,-0.431,0.285,0.017,0.014,0.004,0
0.828,-0.343,0.525,0.17,0.073,0.11,0
-0.252,0.364,0.696,0.327,0.102,0.034,0
-0.664,0.7,0.489,0.01,0.014,0.005,0
-0.552,0.664,0.543,0.02,0.003,0.002,0
-0.559,0.682,0.54,0.015,0.004,0,0
-0.532,0.739,0.509,0.007,0.008,0.001,0
-0.418,0.817,0.484,0.026,0.008,0.001,0
-0.339,0.894,0.44,0.003,0.001,0,0
-0.242,0.956,0.405,0,0,0,0
-0.242,0.935,0.399,0.227,0.021,0.009,0
-0.57,0.795,0.334,0.054,0.03,0.017,0
-0.754,0.521,0.428,0.013,0.014,0.004,0
-0.806,0.355,0.483,0.002,0.005,0,0
-0.781,0.344,0.519,0.009,0.011,0.006,0
-0.774,0.272,0.574,0.005,0.011,0.005,0
-0.586,0.277,0.655,0.093,0.026,0.005,0
-0.832,-0.068,0.596,0.027,0.127,0.002,0
-0.777,0.054,0.589,0.002,0.011,0.003,0
-0.876,0.129,0.518,0.006,0.01,0.007,0
-0.775,0.073,0.669,0.056,0.033,0.009,0
0.082,0.368,0.861,0.21,0.13,0.018,0
0.619,0.038,0.875,0.012,0.011,0.005,0
0.497,-0.042,0.904,0.001,0.002,0.002,1
0.497,-0.057,0.918,0,0,0,1
0.485,-0.062,0.916,0,0,0,1
0.484,-0.064,0.919,0,0,0,1
0.484,-0.066,0.919,0,0,0,1
